test http://localhost:3600/fixture/start http://localhost:3600/fixture/start 0 1
the http://localhost:3600/fixture/start http://localhost:3600/fixture/start 0 2
this http://localhost:3600/fixture/start http://localhost:3600/fixture/start 0 3
to http://localhost:3600/fixture/start http://localhost:3600/fixture/start 0 3
the http://localhost:3600/fixture/program-patterns http://localhost:3600/fixture/start 1 1
this http://localhost:3600/fixture/program-patterns http://localhost:3600/fixture/start 1 2
to http://localhost:3600/fixture/program-patterns http://localhost:3600/fixture/start 1 1
terms http://localhost:3600/fixture/python-basics http://localhost:3600/fixture/start 1 1
the http://localhost:3600/fixture/python-basics http://localhost:3600/fixture/start 1 1
this http://localhost:3600/fixture/python-basics http://localhost:3600/fixture/start 1 2
together http://localhost:3600/fixture/python-basics http://localhost:3600/fixture/start 1 1
talks http://localhost:3600/fixture/page-signals http://localhost:3600/fixture/start 1 1
the http://localhost:3600/fixture/page-signals http://localhost:3600/fixture/start 1 1
this http://localhost:3600/fixture/page-signals http://localhost:3600/fixture/start 1 1
terms http://localhost:3600/fixture/pipeline-notes http://localhost:3600/fixture/start 2 1
