safe http://localhost:3600/fixture/start http://localhost:3600/fixture/start 0 1
signals http://localhost:3600/fixture/start http://localhost:3600/fixture/start 0 2
site http://localhost:3600/fixture/start http://localhost:3600/fixture/start 0 1
start http://localhost:3600/fixture/start http://localhost:3600/fixture/start 0 2
sample http://localhost:3600/fixture/program-patterns http://localhost:3600/fixture/start 1 1
services http://localhost:3600/fixture/program-patterns http://localhost:3600/fixture/start 1 1
stay http://localhost:3600/fixture/program-patterns http://localhost:3600/fixture/start 1 1
style http://localhost:3600/fixture/program-patterns http://localhost:3600/fixture/start 1 1
scoring http://localhost:3600/fixture/python-basics http://localhost:3600/fixture/start 1 1
signals http://localhost:3600/fixture/python-basics http://localhost:3600/fixture/start 1 1
so http://localhost:3600/fixture/python-basics http://localhost:3600/fixture/start 1 1
start http://localhost:3600/fixture/python-basics http://localhost:3600/fixture/start 1 1
store http://localhost:3600/fixture/python-basics http://localhost:3600/fixture/start 1 1
structure http://localhost:3600/fixture/python-basics http://localhost:3600/fixture/start 1 1
syntax http://localhost:3600/fixture/python-basics http://localhost:3600/fixture/start 1 1
score http://localhost:3600/fixture/page-signals http://localhost:3600/fixture/start 1 1
search http://localhost:3600/fixture/page-signals http://localhost:3600/fixture/start 1 3
should http://localhost:3600/fixture/page-signals http://localhost:3600/fixture/start 1 1
signals http://localhost:3600/fixture/page-signals http://localhost:3600/fixture/start 1 3
simple http://localhost:3600/fixture/page-signals http://localhost:3600/fixture/start 1 1
small http://localhost:3600/fixture/page-signals http://localhost:3600/fixture/start 1 1
search http://localhost:3600/fixture/pipeline-notes http://localhost:3600/fixture/start 2 1
so http://localhost:3600/fixture/pipeline-notes http://localhost:3600/fixture/start 2 1
still http://localhost:3600/fixture/pipeline-notes http://localhost:3600/fixture/start 2 2
